metadata_start,metadata_end,metadata_today,metadata_deviceid,metadata_subscriberid,region_district,facility_name,reporting_period,organisation,organisation_unlisted,site_type,site_type_name,facility_site_id,site_activity,site_activity_added_label,site_activity1,site_activity2,site_activity3,site_activity4,site_activity5,site_activity6,site_activity7,mobile_site_activity,mobile_site_activity_added_label,mobile_site_activity1,mobile_site_activity2,mobile_site_activity3,mobile_site_activity4,mobile_site_activity5,if_activity1,if_activity2,if_activity3,if_activity4,if_activity5,if_activity6,if_activity7,concat_site_activity,boys_nu105,boys_nu105_calculate,girls_nu105,girls_nu105_calculate,plw_nu105,plw_nu105_calculate,calculation_nu105,ack1,grp1_boys_nu101a,grp1_boys_nu101a_calculate,grp1_girls_nu101a,grp1_girls_nu101a_calculate,grp1_calculation_nu101a,grp1_boys_nu101a2,grp1_boys_nu101a2_calculate,grp1_girls_nu101a2,grp1_girls_nu101a2_calculate,grp1_calculation_nu101a2,grp1_boys_nu101a3,grp1_boys_nu101a3_calculate,grp1_girls_nu101a3,grp1_girls_nu101a3_calculate,grp1_calculation_nu101a3,grp1_boys_nu101a4,grp1_boys_nu101a4_calculate,grp1_girls_nu101a4,grp1_girls_nu101a4_calculate,grp1_calculation_nu101a4,grp1_boys_nu101a5,grp1_boys_nu101a5_calculate,grp1_girls_nu101a5,grp1_girls_nu101a5_calculate,grp1_calculation_nu101a5,grp1_calculation_sum_total_nu101a,ack2,grp2_boys_nu101b,grp2_boys_nu101b_calculate,grp2_girls_nu101b,grp2_girls_nu101b_calculate,grp2_calculation_nu101b,grp2_boys_nu101b2,grp2_boys_nu101b2_calculate,grp2_girls_nu101b2,grp2_girls_nu101b2_calculate,grp2_calculation_nu101b2,grp2_boys_nu101b3,grp2_boys_nu101b3_calculate,grp2_girls_nu101b3,grp2_girls_nu101b3_calculate,grp2_calculation_nu101b3,grp2_boys_nu101b4,grp2_boys_nu101b4_calculate,grp2_girls_nu101b4,grp2_girls_nu101b4_calculate,grp2_calculation_nu101b4,grp2_boys_nu101b5,grp2_boys_nu101b5_calculate,grp2_girls_nu101b5,grp2_girls_nu101b5_calculate,grp2_calculation_nu101b5,grp2_calculation_sum_total_nu101b,ack3,grp3_boys_nu101c,grp3_boys_nu101c_calculate,grp3_girls_nu101c,grp3_girls_nu101c_calculate,grp3_plw_nu101c,grp3_plw_nu101c_calculate,grp3_calculation_nu101c,grp3_boys_nu101c2,grp3_boys_nu101c2_calculate,grp3_girls_nu101c2,grp3_girls_nu101c2_calculate,grp3_plw_nu101c2,grp3_plw_nu101c2_calculate,grp3_calculation_nu101c2,grp3_boys_nu101c3,grp3_boys_nu101c3_calculate,grp3_girls_nu101c3,grp3_girls_nu101c3_calculate,grp3_plw_nu101c3,grp3_plw_nu101c3_calculate,grp3_calculation_nu101c3,grp3_boys_nu101c4,grp3_boys_nu101c4_calculate,grp3_girls_nu101c4,grp3_girls_nu101c4_calculate,grp3_plw_nu101c4,grp3_plw_nu101c4_calculate,grp3_calculation_nu101c4,grp3_calculation_sum_total_nu101c,ack4,grp4_boys_nu102a,grp4_boys_nu102a_calculate,grp4_girls_nu102a,grp4_girls_nu102a_calculate,grp4_calculation_nu102a,ack5,grp5_boys_nu102b,grp5_boys_nu102b_calculate,grp5_girls_nu102b,grp5_girls_nu102b_calculate,grp5_calculation_nu102b,ack6,grp6_boys_nu102c,grp6_boys_nu102c_calculate,grp6_girls_nu102c,grp6_girls_nu102c_calculate,grp6_plw_nu102c,grp6_plw_nu102c_calculate,grp6_calculation_nu102c,ack_6,grp_6_boys_nu103a,grp_6_boys_nu103a_calculate,grp_6_girls_nu103a,grp_6_girls_nu103a_calculate,grp_6_calculation_nu103a,ack7,grp7_boys_nu103b,grp7_boys_nu103b_calculate,grp7_girls_nu103b,grp7_girls_nu103b_calculate,grp7_calculation_nu103b,ack8,grp8_boys_nu103c,grp8_boys_nu103c_calculate,grp8_girls_nu103c,grp8_girls_nu103c_calculate,grp8_plw_nu103c,grp8_plw_nu103c_calculate,grp8_calculation_nu103c,ack9,grp9_boys_nu104a,grp9_boys_nu104a_calculate,grp9_girls_nu104a,grp9_girls_nu104a_calculate,grp9_calculation_nu104a,ack10,grp10_boys_nu104b,grp10_boys_nu104b_calculate,grp10_girls_nu104b,grp10_girls_nu104b_calculate,grp10_calculation_nu104b,ack11,grp11_boys_nu104c,grp11_boys_nu104c_calculate,grp11_girls_nu104c,grp11_girls_nu104c_calculate,grp11_plw_nu104c,grp11_plw_nu104c_calculate,grp11_calculation_nu104c,ack12,grp12_boys_nu109a,grp12_boys_nu109a_calculate,grp12_girls_nu109a,grp12_girls_nu109a_calculate,grp12_calculation_nu109a,ack13,grp13_boys_nu109b,grp13_boys_nu109b_calculate,grp13_girls_nu109b,grp13_girls_nu109b_calculate,grp13_calculation_nu109b,ack14,grp14_boys_nu109c,grp14_boys_nu109c_calculate,grp14_girls_nu109c,grp14_girls_nu109c_calculate,grp14_plw_nu109c,grp14_plw_nu109c_calculate,grp14_calculation_nu109c,ack15,grp15_boys_nu112a,grp15_boys_nu112a_calculate,grp15_girls_nu112a,grp15_girls_nu112a_calculate,grp15_calculation_nu112a,ack16,grp16_boys_nu112b,grp16_boys_nu112b_calculate,grp16_girls_nu112b,grp16_girls_nu112b_calculate,grp16_calculation_nu112b,ack17,grp17_boys_nu112c,grp17_boys_nu112c_calculate,grp17_girls_nu112c,grp17_girls_nu112c_calculate,grp17_plw_nu112c,grp17_plw_nu112c_calculate,grp17_calculation_nu112c,grp18_calculation_sum_total_nu113a,grp18_otp_total_begin_month_admitted,grp18_otp_difference,grp18_otp_difference_calc,grp19_calculation_sum_total_nu113b,grp19_sc_total_begin_month_admitted,grp19_sc_difference,grp19_sc_difference_calc,grp20_calculation_sum_total_nu113c,grp20_tsfp_total_begin_month_admitted,grp20_tsfp_difference,grp20_tsfp_difference_calc,grp21_calculation_sum_total_nu114a,grp22_calculation_sum_total_nu114b,grp23_calculation_sum_total_nu114c,ack24,grp24_boys_nu106,grp24_boys_nu106_calculate,grp24_girls_nu106,grp24_girls_nu106_calculate,grp24_plw_nu106,grp24_plw_nu106_calculate,grp24_calculation_nu106,ack25,grp25_boys_nu111,grp25_boys_nu111_calculate,grp25_girls_nu111,grp25_girls_nu111_calculate,grp25_calculation_nu111,ack26,grp26_boys_nu115,grp26_boys_nu115_calculate,grp26_girls_nu115,grp26_girls_nu115_calculate,grp26_calculation_nu115,ack27,grp27_plw_nu116,grp27_plw_nu116_calculate,ack28,grp28_boys_nu107,grp28_boys_nu107_calculate,grp28_girls_nu107,grp28_girls_nu107_calculate,grp28_plw_nu107,grp28_plw_nu107_calculate,grp28_calculation_nu107,ack29,grp29_plw_nu117,grp29_plw_nu117_calculate,ack30,grp30_male_nu118,grp30_male_nu118_calculate,grp30_female_nu118,grp30_female_nu118_calculate,grp30_calculation_nu118,reporting_nu201,reporting_nu201_added_label,reporting_rusf,reporting_rusf_added_label,reporting_bsfp_csb,reporting_bsfp_csb_added_label,reporting_mchn_csb,reporting_mchn_csb_added_label,total_nu402,meta_instanceid,_id,_submission_time,_submitted_by,_xform_id
2018-04-16 14:21:33.000,2018-05-05 13:09:06.000,2018-04-16,enketo.ona.io:kRlR9MhKaoJgTHQe,subscriberid not found,Lower_Juba_Afmadow,Lower_Juba_Afmadow_Afmadow_Town_Afmadow_Wamo_Center,2018_March,,,1,Fixed Site,41194008,1 3,OTP || TSFP,1,3,,,,,,,,,,,,,OTP,TSFP,,,,,,Services provided: OTP TSFP,40,40,31,31,62,62,133,OK,35.0,35,27.0,27,62,9.0,9,5.0,5,14,0.0,0,0.0,0,0,2.0,2,5.0,5,7,1.0,1,3.0,3,4,25,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,347.0,347,287.0,287,80.0,80,714,13.0,13,9.0,9,11.0,11,33,17.0,17,11.0,11,13.0,13,41,2.0,2,3.0,3,1.0,1,6,80,OK,7.0,7,3.0,3,10,OK,,,,,,OK,15.0,15,10.0,10,8.0,8,33,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,3.0,3,3,OK,,,,,,OK,2.0,2,1.0,1,4.0,4,7,OK,17.0,17,11.0,11,28,OK,,,,,,OK,5.0,5,8.0,8,3.0,3,16,41,87,46,,,,,,56,794,738,,46,,738,OK,,,,,,,,OK,67.0,67,45.0,45,112,OK,79.0,79,48.0,48,127,OK,88.0,88,OK,,,,,,,,OK,132.0,132,OK,2.0,2,3.0,3,5,2,No,,,,,,,,uuid:b0151699-de74-4737-8e47-d907c19f8ccb,42714518,2018-05-05 10:18:01.000,princejay,358345
2018-06-02 11:01:17.838,2018-06-02 12:00:28.689,2018-06-02,enketo.ona.io:kRlR9MhKaoJgTHQe,subscriberid not found,Lower_Juba_Afmadow,Lower_Juba_Afmadow_Afmadow_Town_Afmadow_Wamo_Center,2018_May,,,1,Fixed Site,41194008,1 3,OTP || TSFP,1,3,,,,,,,,,,,,,OTP,TSFP,,,,,,Services provided: OTP TSFP,65,65,52,52,189,189,306,OK,46.0,46,52.0,52,98,11.0,11,9.0,9,20,2.0,2,3.0,3,5,4.0,4,1.0,1,5,1.0,1,3.0,3,4,34,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,263.0,263,287.0,287,160.0,160,710,14.0,14,10.0,10,11.0,11,35,7.0,7,5.0,5,0.0,0,12,3.0,3,2.0,2,2.0,2,7,54,OK,7.0,7,5.0,5,12,OK,,,,,,OK,3.0,3,7.0,7,5.0,5,15,OK,1.0,1,0.0,0,1,OK,,,,,,OK,2.0,2,1.0,1,0.0,0,3,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,2.0,2,2,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,15,132,117,,,,,,18,764,746,,117,,746,OK,1279.0,1279,721.0,721,0.0,0,2000,OK,79.0,79,114.0,114,193,OK,168.0,168,146.0,146,314,OK,125.0,125,OK,,,,,,,,OK,154.0,154,OK,2.0,2,3.0,3,5,2,No,,,,,,,,uuid:492e546e-0eb6-4aad-a622-e8f356b23caf,42714519,2018-06-02 09:02:44.000,princejay,358345
2018-07-21 15:56:02.940,2018-07-24 09:32:20.045,2018-07-21,enketo.ona.io:yhCJJ9kIEOrny0cV,subscriberid not found,Lower_Juba_Afmadow,Lower_Juba_Afmadow_Afmadow_Town_Afmadow_Wamo_Center,2018_June,,,1,Fixed Site,41194008,1 3,OTP || TSFP,1,3,,,,,,,,,,,,,OTP,TSFP,,,,,,Services provided: OTP TSFP,285,285,341,341,218,218,844,OK,33.0,33,42.0,42,75,12.0,12,8.0,8,20,2.0,2,2.0,2,4,1.0,1,2.0,2,3,0.0,0,0.0,0,0,27,OK,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,OK,360.0,360,185.0,185,160.0,160,705,9.0,9,11.0,11,14.0,14,34,5.0,5,7.0,7,0.0,0,12,0.0,0,0.0,0,0.0,0,0,46,OK,5.0,5,7.0,7,12,OK,0.0,0,0.0,0,0,OK,10.0,10,6.0,6,9.0,9,25,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,3.0,3,3,OK,0.0,0,0.0,0,0,OK,0.0,0,1.0,1,2.0,2,3,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,15,102,87,,0,0,0,,28,751,723,,87,0,723,OK,1184.0,1184,816.0,816,0.0,0,2000,OK,124.0,124,162.0,162,286,OK,76.0,76,90.0,90,166,OK,160.0,160,OK,,,,,,,,OK,160.0,160,OK,2.0,2,3.0,3,5,2,No,,,,,,,,uuid:ec190bc9-4fef-49d4-b31b-b249a8db5da7,42714520,2018-07-24 06:31:38.000,princejay,358345
2018-09-16 01:45:07.349,2018-09-16 06:54:42.634,2018-09-16,enketo.ona.io:yhCJJ9kIEOrny0cV,subscriberid not found,Lower_Juba_Afmadow,Lower_Juba_Afmadow_Afmadow_Town_Afmadow_Wamo_Center,2018_August,,,1,Fixed Site,41194008,1 3,OTP || TSFP,1,3,,,,,,,,,,,,,OTP,TSFP,,,,,,Services provided: OTP TSFP,32,32,38,38,51,51,121,OK,40.0,40,52.0,52,92,6.0,6,4.0,4,10,1.0,1,2.0,2,3,0.0,0,0.0,0,0,0.0,0,0.0,0,0,13,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,286.0,286,264.0,264,160.0,160,710,9.0,9,8.0,8,11.0,11,28,7.0,7,8.0,8,0.0,0,15,0.0,0,0.0,0,0.0,0,0,43,OK,7.0,7,8.0,8,15,OK,,,,,,OK,11.0,11,9.0,9,6.0,6,26,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,2.0,2,1.0,1,3,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,15,105,90,,,,,,29,753,724,,90,,724,OK,853.0,853,1147.0,1147,160.0,160,2160,OK,276.0,276,175.0,175,451,OK,276.0,276,175.0,175,451,OK,160.0,160,OK,,,,,,,,OK,144.0,144,OK,2.0,2,3.0,3,5,2,No,,,,,,,,uuid:3fc2b77e-a8ae-4ac1-911d-7dc3993e3713,42714521,2018-09-16 14:00:50.000,princejay,358345
2018-03-27 15:32:32.000,2018-03-27 15:59:17.000,2018-03-27,enketo.ona.io:7wzJ1HBQTtB76BBA,subscriberid not found,Gedo_Luuq,Gedo_Luuq_Akara_Akara_HC,2018_January,,,1,Fixed Site,41194009,1 3 6,OTP || TSFP || IYCF,1,3,6,,,,,,,,,,,,OTP,TSFP,IYCF,,,,,Services provided: OTP TSFP IYCF,237,237,225,225,66,66,528,OK,310.0,310,212.0,212,522,18.0,18,28.0,28,46,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,46,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,212.0,212,211.0,211,209.0,209,632,29.0,29,25.0,25,17.0,17,71,3.0,3,5.0,5,0.0,0,8,3.0,3,0.0,0,0.0,0,3,82,OK,87.0,87,95.0,95,182,OK,,,,,,OK,33.0,33,22.0,22,17.0,17,72,OK,0.0,0,1.0,1,1,OK,,,,,,OK,2.0,2,3.0,3,0.0,0,5,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,12.0,12,14.0,14,26,OK,,,,,,OK,2.0,2,7.0,7,0.0,0,9,OK,2.0,2,5.0,5,7,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,216,568,352,,,,,,86,714,628,,352,,628,OK,,,,,,,,OK,0.0,0,0.0,0,0,OK,,,,,,OK,,,OK,,,,,,,,OK,25.0,25,OK,0.0,0,2.0,2,2,1,Yes,,,,,,,,uuid:74a03b97-6ebd-4342-90aa-115e41c18da6,42714523,2018-03-27 13:04:23.000,trc,358345
2019-04-30 09:29:22.410,2019-04-30 09:31:52.061,2019-04-30,enketo.ona.io:K5cXdtbNg9XxF5QA,subscriberid not found,Bari_Bossaso,Bari_Bossaso_Bossaso_MCH 100 Bush,2019_January,ISDP,,1,Fixed Site,41194908,5,MCHN,5,,,,,,,,,,,,,,MCHN,,,,,,,Services provided: MCHN,320,320,43,43,510,510,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,87.0,87,102.0,102,66.0,66,255,,,,,,,,,,,,,,,,2,No,,uuid:97e35ec8-440f-48f6-b043-315e79fdaa97,45413431,2019-04-30 06:59:32.000,farahfanta,358345
2018-03-27 11:35:03.000,2018-03-27 12:48:50.000,2018-03-27,enketo.ona.io:7wzJ1HBQTtB76BBA,subscriberid not found,Gedo_Luuq,Gedo_Luuq_Akara_Akara_HC,2018_January,,,1,Fixed Site,41194009,1 3 6,OTP || TSFP || IYCF,1,3,6,,,,,,,,,,,,OTP,TSFP,IYCF,,,,,Services provided: OTP TSFP IYCF,237,237,225,225,66,66,528,OK,310.0,310,212.0,212,522,18.0,18,28.0,28,46,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,46,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,212.0,212,211.0,211,209.0,209,632,29.0,29,25.0,25,17.0,17,71,3.0,3,5.0,5,0.0,0,8,3.0,3,0.0,0,0.0,0,3,82,OK,87.0,87,95.0,95,182,OK,,,,,,OK,33.0,33,22.0,22,17.0,17,72,OK,0.0,0,1.0,1,1,OK,,,,,,OK,2.0,2,3.0,3,0.0,0,5,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,12.0,12,14.0,14,26,OK,,,,,,OK,2.0,2,7.0,7,0.0,0,9,OK,2.0,2,5.0,5,7,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,216,568,352,,,,,,86,714,628,,352,,628,OK,,,,,,,,OK,0.0,0,0.0,0,0,OK,,,,,,OK,,,OK,,,,,,,,OK,0.0,0,OK,0.0,0,1.0,1,1,1,Yes,,,,,,,NUMBER OF BENEFICIARIES TRANSFERRED FROM THERAPEUTIC FEEDING PROGRAMMES AT OUTPATIENT THERAPEUTIC PROGRAMME (OTP) The total number of this question is wrong eg we have added 2 and 5 which suppose to be 7 but instead is given us 26,uuid:c3e9710d-b25a-42bc-a80a-f739a5c338f2,42714522,2018-03-27 09:54:27.000,mohjl,358345
2018-04-06 05:10:07.000,2018-04-06 06:09:00.000,2018-04-06,enketo.ona.io:3wuoOnxaTipWOW6n,subscriberid not found,Gedo_Luuq,Gedo_Luuq_Akara_Akara_HC,2018_March,,,1,Fixed Site,41194009,1 3 6,OTP || TSFP || IYCF,1,3,6,,,,,,,,,,,,OTP,TSFP,IYCF,,,,,Services provided: OTP TSFP IYCF,161,161,321,321,174,174,656,OK,92.0,92,73.0,73,165,4.0,4,11.0,11,15,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,15,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,179.0,179,212.0,212,102.0,102,493,20.0,20,26.0,26,12.0,12,58,11.0,11,10.0,10,0.0,0,21,0.0,0,0.0,0,0.0,0,0,79,OK,11.0,11,10.0,10,21,OK,,,,,,OK,14.0,14,14.0,14,14.0,14,42,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,OK,11.0,11,10.0,10,0.0,0,21,21,180,159,,,,,,63,572,509,,159,,509,OK,,,,,,,,OK,0.0,0,0.0,0,0,OK,,,,,,OK,,,OK,,,,,,,,OK,115.0,115,OK,0.0,0,0.0,0,0,1,Yes,,,,,,,,uuid:2d9c1644-b5cf-4c16-a47b-6881bb7313f2,42714524,2018-04-06 12:16:30.000,jaamac1,358345
2018-05-05 01:35:17.000,2018-05-05 04:18:22.000,2018-05-05,enketo.ona.io:AHaMylRthibxDAdP,subscriberid not found,Gedo_Luuq,Gedo_Luuq_Akara_Akara_HC,2018_April,,,1,Fixed Site,41194009,1 2 3 6 7,OTP || SC || TSFP || IYCF || Micronutrient,1,2,3,6,7,,,,,,,,,,OTP,SC,TSFP,IYCF,Micronutrient,,,Services provided: OTP SC TSFP IYCF Micronutrient,213,213,279,279,200,200,692,OK,89.0,89,71.0,71,160,17.0,17,15.0,15,32,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,32,OK,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,OK,156.0,156,208.0,208,198.0,198,562,24.0,24,24.0,24,15.0,15,63,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,63,OK,20.0,20,30.0,30,50,OK,0.0,0,0.0,0,0,OK,30.0,30,38.0,38,60.0,60,128,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0.0,0,0,50,192,142,,0,0,0,,128,625,497,,142,0,497,OK,,,,,,,,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,0.0,0,OK,,,,,,,,OK,120.0,120,OK,0.0,0,0.0,0,0,1,Yes,,,,,,,Nutrition staffs needs to get refresh training on nutrition departments.,uuid:0fc51f9e-6d7e-42a5-90d0-cc5b83bf4fb2,42714525,2018-05-05 11:46:29.000,jaamac1,358345
2018-05-31 11:35:13.768,2018-05-31 12:01:16.269,2018-05-31,enketo.ona.io:TQhq9DhZm4mRORqd,subscriberid not found,Gedo_Belet_Xaawo,Gedo_Belet_Xaawo_Waberi_Belet_Hawa_MCH,2018_April,,,1,Fixed Site,41194035,1 2,OTP || SC,1,2,,,,,,,,,,,,,OTP,SC,,,,,,Services provided: OTP SC,94,94,107,107,65,65,266,OK,61.0,61,63.0,63,124,32.0,32,36.0,36,68,0.0,0,0.0,0,0,0.0,0,0.0,0,0,3.0,3,4.0,4,7,75,OK,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,33.0,33,42.0,42,75,OK,0.0,0,0.0,0,0,OK,,,,,,,,OK,,,,,,OK,0.0,0,0.0,0,0,OK,,,,,,,,OK,0.0,0,0.0,0,0,OK,0.0,0,0.0,0,0,OK,,,,,,,,OK,0.0,0,1.0,1,1,OK,0.0,0,0.0,0,0,OK,,,,,,,,OK,1.0,1,0.0,0,1,OK,0.0,0,0.0,0,0,OK,,,,,,,,NaN,199,,,0,0,0,,,,,,NaN,0,,OK,,,,,,,,OK,25.0,25,28.0,28,53,OK,22.0,22,25.0,25,47,OK,46.0,46,OK,,,,,,,,OK,74.0,74,OK,2.0,2,8.0,8,10,1,Yes,,,,,,,No crisis No break down of supply,uuid:d705d9c7-82bf-4185-b80d-594b857e48f3,42714526,2018-05-31 09:07:13.000,hirdahealth2018,358345
